tier,vertical,company,city,phone,website,contact_form_url,data_confidence,notes,already_known
0-WARM already in contacts,Restoration / Adjuster,AdvantaClean of Boca Raton,Boca Raton,(561) 299-3335,https://www.advantaclean.com/boca-raton-fl/,https://www.advantaclean.com/contact-us/,unconfirmed,Restoration + MoldRemediation; national franchise local office; AdvantaClean is explicitly a mitigation/remediation brand with no reconstruction arm - likely-no-rebuild (unconfirmed) = strong fit; phone from search-result title; one directory lists this location as closed - verify before outreach,YES
0-WARM already in contacts,Restoration / Adjuster,All Claims USA Public Adjusters,Boca Raton,561-264-6566,https://allclaimsusa.com,https://allclaimsusa.com/licensed-public-adjusters/,indexed,PublicAdjuster; multi-office FL firm; dedicated Boca Raton and Delray Beach office pages; phone from search-result title,YES
0-WARM already in contacts,Design / Showroom,Clive Daniel Home,Boca Raton,(561) 440-4663,https://clivedaniel.com,https://clivedaniel.com/boca-raton/,unconfirmed,"Showroom. Large furniture + design showroom with in-house design staff, no construction crew; 1351 NW Boca Raton Blvd. unconfirmed phone (prose summary only)",YES
0-WARM already in contacts,Property Mgmt / HOA,Grant Property Management,Boca Raton,561-417-4100,https://grantmgmt.com/,https://grantmgmt.com/contact-us/,indexed,HOA and condo management across Palm Beach County for ~30 years - Broken Sound Pkwy office,YES
0-WARM already in contacts,Restoration / Adjuster,Water Mold Fire Restoration,Boca Raton,561-401-0436,https://watermoldfire.net/boca-raton-fl/,,indexed,MoldRemediation + Restoration; multi-market brand with a Boca Raton page; phone from search-result title; verify it is a real local office and not a lead-gen page before outreach,YES
0-WARM already in contacts,Restoration / Adjuster,Palm Beach Restoration Company,Palm Beach,561-370-6476,https://palmbeachrestorationcompany.com,,unconfirmed,"Restoration; independent; phone from search-result title; small local operator, rebuild not marketed - likely-no-rebuild (unconfirmed)",YES
0-WARM already in contacts,Restoration / Adjuster,Express Emergency Services,Boca Raton,,https://expressemergency.com,https://expressemergency.com/contact/,unconfirmed,Restoration + MoldRemediation; independent; Boca Raton HQ per search prose - unconfirmed; also markets home remodeling so does in-house rebuild - weaker fit,YES
0-WARM already in contacts,Property Mgmt / HOA,FirstService Residential - Boca Raton,Boca Raton,,https://www.fsresidential.com/florida/offices/boca-raton-property-management/,,indexed,National brand but staffed Boca Raton office - one of the largest HOA/condo portfolios in the county,YES
0-WARM already in contacts,Trades / Real Estate,Florida State Home Inspectors Inc,Boca Raton,,https://floridastatehomeinspectors.com/,,indexed,HomeInspector - Boca Raton based covering Delray and south county,YES
0-WARM already in contacts,Trades / Real Estate,Lang Realty,Boca Raton,,https://www.langrealty.com/,,indexed,Brokerage - offices in Boca Delray Boynton and Jupiter; large agent base est 1989,YES
0-WARM already in contacts,Trades / Real Estate,Royal Palm Properties,Boca Raton,,https://royalpalm.com/,,indexed,Brokerage - exclusive broker for Royal Palm Yacht & Country Club; luxury pre-listing punch lists,YES
0-WARM already in contacts,Trades / Real Estate,Bergeron Plumbing,Delray Beach,,https://bergeronplumbing.com/,,indexed,Plumbing - 25+ years Delray Beach; service only not remodeling,YES
0-WARM already in contacts,Restoration / Adjuster,Mold Only,Delray Beach,,https://moldonly.com,,unconfirmed,"MoldRemediation; independent specialist, ~20 years per site copy - unconfirmed; the company name itself states the scope - likely-no-rebuild = strongest possible structural fit",YES
0-WARM already in contacts,Design / Showroom,TW Interiors,Delray Beach,,https://twinteriors.com,https://twinteriors.com/,indexed,InteriorDesign + Stager. Tiffany Woolley; design-only high-end full-service plus luxury staging across PBC,YES
0-WARM already in contacts,Property Mgmt / HOA,Vesta Property Services - Delray Beach,Delray Beach,,https://vestapropertyservices.com/boca-raton/,,indexed,Regional firm with Delray Beach and Wellington offices - HOA condo and association management,YES
0-WARM already in contacts,Restoration / Adjuster,PuroClean of Jupiter,Jupiter,,https://www.puroclean.com/jupiter-fl-puroclean-property-damage-restoration/,,unconfirmed,Restoration + MoldRemediation; franchise local office; PuroClean is a mitigation-first brand - likely-no-rebuild (unconfirmed) = strong fit; owner named Daniel Castro per search prose - unconfirmed,YES
0-WARM already in contacts,Property Mgmt / HOA,Palm Beach Property Management,Palm Beach,,https://pbpmflorida.com/,,indexed,Boutique HOA/condo firm since 1988 - site cites $1M clubhouse and interior renovation oversight,YES
